truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Jeep Liberty,2004,Fair Price,Sport RWD,At or near avg. list price,"$7,988 ","85,050 miles",,,"Tan exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW X5,2017,High Price,xDrive40e iPerformance AWD,"$2,359 above avg. list price","$38,998 ","46,434 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
Honda CR-V,2016,High Price,EX FWD,"$1,427 above avg. list price","$22,299 ","50,469 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz S-Class,2019,Fair Price,AMG S 63 Coupe 4MATIC+,$854 above avg. list price,"$134,888 ","33,468 miles",,,"Green exterior, Brown interior","No accidents, 3 Owners, Personal use"
Ford Focus,2017,High Price,ST Hatchback,$604 above avg. list price,"$22,880 ","28,537 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Lamborghini Urus,2019,High Price,Urus,"$4,203 above avg. list price","$279,988 ","1,720 miles",Dealer Discount Available,,"Yellow exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Mustang,2015,Fair Price,V6 Fastback,At or near avg. list price,"$16,699 ","107,145 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Porsche 911,2007,Fair Price,GT3,At or near avg. list price,"$137,995 ","40,560 miles",,,"White exterior, Black interior","No accidents, 5 Owners, Personal use"
MINI Cooper,2010,High Price,Hardtop 2-Door,$531 above avg. list price,"$8,997 ","97,721 miles",Dealer Discount Available,,"White exterior, Beige interior","No accidents, 4 Owners, Personal use"
Subaru WRX,2022,Fair Price,CVT,$438 above avg. list price,"$33,870 ",601 miles,,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2019,High Price,SE 2.0L Automatic,$473 above avg. list price,"$16,995 ","99,343 miles",Dealer Discount Available,,"Blue exterior, Gray interior","1 accident, 1 Owner, Fleet use"
Hyundai Tucson,2011,Fair Price,GLS FWD Automatic (PZEV),At or near avg. list price,"$12,997 ","56,000 miles",,,"Blue exterior, Beige interior","2 accidents, 1 Owner, Personal use"
Nissan Sentra,2015,High Price,SV CVT,"$1,664 above avg. list price","$14,998 ","95,946 miles",,,"Silver exterior, Black interior","No accidents, 4 Owners, Fleet use"
Mercedes-Benz AMG GT,2021,Fair Price,AMG GT 63 4-Door Coupe,"$1,948 above avg. list price","$149,888 ","6,667 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz G-Class,2021,High Price,AMG G 63 4MATIC,"$8,548 above avg. list price","$249,888 ","8,050 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2015,High Price,Sport Sedan I4 CVT,$623 above avg. list price,"$20,990 ","101,992 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Porsche 718 Boxster,2021,Fair Price,Roadster,At or near avg. list price,"$74,298 ","7,256 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2017,High Price,EX-L with Honda Sensing/Navigation Sedan CVT,$670 above avg. list price,"$28,990 ","49,181 miles",Dealer Discount Available,,"White exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Toyota Sequoia,2017,Fair Price,Limited 4WD,At or near avg. list price,"$42,374 ","59,032 miles",,,"Gray exterior, Gray interior","1 accident, 2 Owners, Personal use"
Audi Q3,2021,Fair Price,Premium,$196 above avg. list price,"$37,497 ","15,027 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz CLA,2022,Great Price,AMG CLA 45 4MATIC,$585 off avg. list price,"$65,000 ","2,837 miles",,,"Black exterior, Red interior","No accidents, 1 Owner, Personal use"
Porsche 911,2006,Fair Price,Carrera Cabriolet,$365 above avg. list price,"$44,000 ","54,000 miles",,,"Blue exterior, Gray interior","No accidents, 3 Owners, Personal use"
Mitsubishi Outlander Sport,2017,Fair Price,SEL 2.4 FWD CVT,At or near avg. list price,"$16,079 ","61,896 miles",,,"Brown exterior, Black interior","No accidents, 1 Owner, Fleet use"
Nissan Frontier,2020,Fair Price,PRO-4X Crew Cab 4WD,At or near avg. list price,"$33,795 ","19,181 miles",Dealer Discount Available,,"Red exterior, Gray interior","No accidents, 1 Owner, Personal use"
Dodge Journey,2014,,Crossroad FWD,,,"146,670 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Mustang,2014,High Price,V6 Coupe,$351 above avg. list price,"$12,588 ","135,085 miles",,,"Black exterior, Black interior","1 accident, 2 Owners, Fleet use"
Toyota FJ Cruiser,2013,Fair Price,4WD Manual,At or near avg. list price,"$32,990 ","113,212 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Lexus SC,2004,High Price,SC 430 Convertible,$845 above avg. list price,"$29,997 ","41,265 miles",,,"White exterior, Brown interior","No accidents, 3 Owners, Personal use"
Toyota Tacoma,2017,High Price,SR Access Cab 6.1' Bed I4 RWD Automatic,"$1,071 above avg. list price","$27,997 ","56,580 miles",Dealer Discount Available,,"Unknown exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Honda Accord,2015,High Price,LX Sedan I4 CVT,$443 above avg. list price,"$17,988 ","77,233 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
GMC Sierra 2500HD,2018,Fair Price,Denali Crew Cab Standard Box 4WD,$288 above avg. list price,"$49,995 ","103,489 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Subaru Forester,2022,Fair Price,Sport,$539 above avg. list price,"$36,299 ","3,452 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
INFINITI QX56,2013,Fair Price,RWD (alt),$133 above avg. list price,"$18,900 ","97,778 miles",,,"Tan exterior, Gray interior","No accidents, 3 Owners, Personal use"
Toyota Sienna,2014,High Price,LE 8-Passenger FWD,$298 above avg. list price,"$15,995 ","149,658 miles",Dealer Discount Available,,"White exterior, Gray interior","1 accident, 3 Owners, Personal use"
Nissan Altima,2020,Fair Price,2.5 SR FWD,$11 above avg. list price,"$24,795 ","17,906 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus CT,2014,Fair Price,CT 200h,At or near avg. list price,"$18,997 ","97,000 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2018,High Price,SV,$637 above avg. list price,"$24,988 ","30,389 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2020,Fair Price,Long Range,$76 above avg. list price,"$71,988 ","33,535 miles",,,"White exterior, White interior","No accidents, 1 Owner, Personal use"
